scorer_id,S0_ORIGINAL,S1_CASEFOLD,S2_PREFIX_STRICT,S3_PREFIX_LSTRIP,S4_NFC_SUBSTRING,S5_NFKC_SUBSTRING
S0_ORIGINAL,0,2,10,10,0,0
S1_CASEFOLD,2,0,12,12,2,2
S2_PREFIX_STRICT,10,12,0,0,10,10
S3_PREFIX_LSTRIP,10,12,0,0,10,10
S4_NFC_SUBSTRING,0,2,10,10,0,0
S5_NFKC_SUBSTRING,0,2,10,10,0,0
